model_id,method,n_row_clusters,n_column_clusters,n_blocks,random_state,row_cluster,column_cluster,n_rows,n_features,volume,n_binary_features,n_numeric_features,binary_feature_fraction,n_sparse_features,sparse_feature_fraction,block_mean,block_std,block_zero_fraction,block_nonzero_fraction,block_h_score,binary_n_values,binary_mean,binary_std,binary_zero_fraction,binary_one_fraction,numeric_n_values,numeric_mean,numeric_std,numeric_zero_fraction,numeric_one_fraction
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,0,0,894,941,841254,341,600,0.36238044633368754,619,0.6578108395324124,0.014881702863981626,0.06573150307525241,0.8913705016558614,0.10862949834413863,0.003536988848643821,304854,0.003129366844456691,0.055853145906112636,0.9968706331555434,0.003129366844456691,536400,0.021560947168411632,0.06985786973087382,0.8314112602535422,0.0002870991797166294
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,0,1,894,100,89400,79,21,0.79,0,0.0,0.5369479088016108,0.4507328857697934,0.3609619686800895,0.6390380313199105,0.16516741355640507,70626,0.5494293886104268,0.4975507366506449,0.4505706113895733,0.5494293886104268,18774,0.4899937704732076,0.1826296813488954,0.023862788963460103,0.00010653030787258975
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,0,2,894,53,47382,53,0,1.0,0,0.0,0.029926976488962052,0.17038589309913885,0.970073023511038,0.029926976488962052,0.0176613085218705,47382,0.029926976488962052,0.17038589309913885,0.970073023511038,0.029926976488962052,0,,,,
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,0,3,894,214,191316,208,6,0.9719626168224299,7,0.03271028037383177,0.023548557493623116,0.14468030565502668,0.9617857366869472,0.03821426331305275,0.01680961221513881,185952,0.021102219927723282,0.14372514130048814,0.9788977800722767,0.021102219927723282,5364,0.1083549264448173,0.15192956212191644,0.3685682326621924,0.0005592841163310962
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,0,4,894,44,39336,23,21,0.5227272727272727,0,0.0,0.7747046829816961,0.30775026205682826,0.09985763677038845,0.9001423632296115,0.07112334310022113,20562,0.8163602762377201,0.3871901026870308,0.18363972376227994,0.8163602762377201,18774,0.7290818903679556,0.17396746413538589,0.008096303398316821,0.09688931501012038
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,0,5,894,171,152874,124,47,0.7251461988304093,0,0.0,0.2856005458120086,0.41319832581082494,0.5378547038737784,0.46214529612622157,0.15438054523729003,110856,0.32417731110630005,0.4680666427659519,0.6758226888936999,0.32417731110630005,42018,0.1838235480143034,0.16993253973097558,0.17385406254462374,2.379932409919558e-05
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,1,0,1037,941,975817,341,600,0.36238044633368754,619,0.6578108395324124,0.008557872317780895,0.04408052144655883,0.9226955463985563,0.07730445360144371,0.0016691689529082633,353617,0.0005203369747495171,0.022804960517006506,0.9994796630252505,0.0005203369747495171,622200,0.013125871571070397,0.05190629530046391,0.8790565734490517,9.482481517197042e-05
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,1,1,1037,100,103700,79,21,0.79,0,0.0,0.38399729377498554,0.4380566759080801,0.5103182256509161,0.4896817743490839,0.17030138464471528,81923,0.3653796858025219,0.48153646902947267,0.6346203141974781,0.3653796858025219,21777,0.4540349618618726,0.1878017491379256,0.04270560683289709,9.184001469440235e-05
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,1,2,1037,53,54961,53,0,1.0,0,0.0,0.008205818671421554,0.09021354228359121,0.9917941813285784,0.008205818671421554,0.007104379167228661,54961,0.008205818671421554,0.09021354228359121,0.9917941813285784,0.008205818671421554,0,,,,
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,1,3,1037,214,221918,208,6,0.9719626168224299,7,0.03271028037383177,0.005920432846812786,0.06757763502025066,0.9824845213096729,0.017515478690327057,0.004226740286647625,215696,0.004144722201617091,0.06424596080290583,0.9958552777983829,0.004144722201617091,6222,0.06747840188026358,0.12606907211713883,0.5189649630343941,0.0001607200257152041
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,1,4,1037,44,45628,23,21,0.5227272727272727,0,0.0,0.7544632273717236,0.3249526426280942,0.12062768475497501,0.879372315245025,0.08781109295291739,23851,0.7784998532556286,0.4152563446072718,0.2215001467443713,0.7784998532556286,21777,0.7281373990226845,0.17623483360193404,0.01014832162373146,0.09909537585526014
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,1,5,1037,171,177327,124,47,0.7251461988304093,0,0.0,0.16220028512971515,0.3255879821024956,0.6646590761700136,0.3353409238299864,0.09621780321828892,128588,0.1619513484928609,0.3684061742346412,0.838048651507139,0.1619513484928609,48739,0.16285705412907528,0.16615775824049775,0.2072057284720655,0.00012310470054781593
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,2,0,675,941,635175,341,600,0.36238044633368754,619,0.6578108395324124,0.04995186090946904,0.18617750069938413,0.8389766599755972,0.16102334002440272,0.028901614095819303,230175,0.09164765938959488,0.28852792918191417,0.9083523406104052,0.09164765938959488,405000,0.026254748773264194,0.0741567423651151,0.7995481481481481,0.00025185185185185185
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,2,1,675,100,67500,79,21,0.79,0,0.0,0.44585308318047406,0.4492881151167502,0.45468148148148146,0.5453185185185185,0.16450289978882124,53325,0.43028598218471636,0.49511610327280847,0.5697140178152836,0.43028598218471636,14175,0.5044150345454673,0.18628709991524706,0.021940035273368606,0.0002821869488536155
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,2,2,675,53,35775,53,0,1.0,0,0.0,0.5780013976240391,0.4938783068415706,0.4219986023759609,0.5780013976240391,0.21825399663339617,35775,0.5780013976240391,0.4938783068415706,0.4219986023759609,0.5780013976240391,0,,,,
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,2,3,675,214,144450,208,6,0.9719626168224299,7,0.03271028037383177,0.2547245478381585,0.4325392884763767,0.7291865697473174,0.27081343025268256,0.17878989834107423,140400,0.25734330484330487,0.43717013655512965,0.7426566951566952,0.25734330484330487,4050,0.16394097165975308,0.19746166198323986,0.26222222222222225,0.0004938271604938272
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,2,4,675,44,29700,23,21,0.5227272727272727,0,0.0,0.6962599033562625,0.3640013714808274,0.18013468013468015,0.8198653198653199,0.08873373307680031,15525,0.6588083735909823,0.4741095869916437,0.34119162640901773,0.6588083735909823,14175,0.737278245480141,0.16794804118477064,0.0037389770723104056,0.09417989417989418
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,2,5,675,171,115425,124,47,0.7251461988304093,0,0.0,0.2508912784136279,0.3910829072903496,0.5711327701970976,0.4288672298029023,0.14049664773640202,83700,0.2710394265232975,0.44449640695197923,0.7289605734767025,0.2710394265232975,31725,0.19773446212428686,0.17691450243068482,0.15473601260835304,3.152088258471237e-05
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,3,0,764,941,718924,341,600,0.36238044633368754,619,0.6578108395324124,0.004820905166822919,0.032790691504209324,0.9507347090930335,0.04926529090696652,0.000911167343016376,260524,7.676835915309146e-06,0.002770699727776267,0.9999923231640847,7.676835915309146e-06,458400,0.007556423268222076,0.04075911536818761,0.922739965095986,0.00012216404886561955
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,3,1,764,100,76400,79,21,0.79,0,0.0,0.22509578146354714,0.36640148394896077,0.665,0.335,0.08710577274368021,60356,0.1826827490224667,0.3864062140184356,0.8173172509775333,0.1826827490224667,16044,0.3846495701704687,0.21300765982368672,0.09199700822737472,0.00012465719272001995
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,3,2,764,53,40492,53,0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,40492,0.0,0.0,1.0,0.0,0,,,,
bistochastic_r5_c6_seed42,bistochastic,5,6,30,42,3,3,764,214,163496,208,6,0.9719626168224299,7,0.03271028037383177,0.0009095297351433675,0.015555239243854616,0.9911802123599354,0.008819787640064589,0.00020234786228132376,158912,6.922070076520338e-05,0.008319609922333436,0.9999307792992348,6.922070076520338e-05,4584,0.030040242926919716,0.07319521557285219,0.68782722513089,0.0
