k,pairwise_ari
3,0.5078789390485089
3,0.9711437371432997
3,0.9650975078516143
3,0.9687936356269777
3,0.9879085699089961
3,0.9704301290857579
3,0.9847727181588981
3,0.9643791765744469
3,0.9565476081524961
3,0.9792482779728531
3,0.9763394807577281
3,0.5192092479099312
3,0.9902037528707879
3,0.970594849831225
3,0.938436855482646
3,0.9914034917029959
3,0.9706584022677764
3,0.5210288044980552
3,0.9825566937038832
3,0.9802470589874884
3,0.5104755537943874
3,0.9820239467623023
3,0.9612626188394642
3,0.9730331444817256
3,0.9757968445879035
3,0.9697839373236415
3,0.9884133334171725
3,0.9621708600337786
3,0.9574936799713951
3,0.9812738179178775
3,0.5127486998637907
3,0.9806683640419303
3,0.9708908499812327
3,0.9368498404335461
3,0.9795247595148343
3,0.9740927150559762
3,0.5183537271652786
3,0.9923439137335015
3,0.9910113472320972
3,0.5087733985674173
3,0.9818899089846672
3,0.9667609652345736
3,0.9746726369838674
3,0.9787221977575096
3,0.9714075027935059
3,0.9857725647516841
3,0.9658080339148122
3,0.9591093402754507
3,0.5218306742022929
3,0.9850481095332023
3,0.9589957880357501
3,0.9549554062725077
3,0.969806754044501
3,0.9577207602280825
3,0.5280257853877226
3,0.9763369873808402
3,0.9756722842587008
3,0.5182826278521903
3,0.9774592008455397
3,0.9485412867101756
3,0.9916439836282444
3,0.9667379614913976
3,0.9850172381747574
3,0.9759954614535199
3,0.9475880595425825
3,0.9725940228290982
3,0.5209885513995637
3,0.5090692160441265
3,0.54144969503748
3,0.5147184496200664
3,0.505794708325752
3,0.943665643371
3,0.5121177027990024
3,0.5128956705638891
3,0.9482323762799886
3,0.5148207057409547
3,0.49644029902119563
3,0.5245186415424464
3,0.5107002528931479
3,0.5197166535403644
3,0.5170900438146807
3,0.4979440525572362
3,0.5230185851797193
3,0.9610035199198553
3,0.9468697873500439
3,0.9845740653193193
3,0.963914045264193
3,0.5240698083429622
3,0.9806764927214224
3,0.9800169886454496
3,0.5143897162402458
3,0.980148766388469
3,0.9544751711858436
3,0.981722624024117
3,0.9703756152261541
3,0.9751593780680639
3,0.988204189998269
3,0.9553883122422507
3,0.9611826278471639
3,0.9170630671053455
3,0.9745103605826111
3,0.9802765334659104
3,0.5110410693784581
3,0.9692700299421693
3,0.9653424066063537
3,0.5007236930367175
3,0.9606168086795236
3,0.9675921187218511
3,0.9541345392807516
3,0.9854554316656386
3,0.9557307739002816
3,0.9708806480140778
3,0.966871713049793
3,0.9420330716530853
