repeat,split_seed,kmeans_seed,k,n_train,n_validation,n_components,retained_variance,validation_silhouette,validation_calinski_harabasz,validation_davies_bouldin,train_inertia,minimum_cluster_fraction,maximum_cluster_fraction,empty_clusters_in_validation
15,176092387,81972038,10,3001,750,93,0.9012019709784548,0.0798235938410166,40.36963312045631,2.3421306282237984,9209.909353337518,0.006398293788323114,0.21114369501466276,0
16,3528048386,806535685,2,3001,750,92,0.9003105276455335,0.12256667959549876,76.54726101530034,2.597105671675485,12604.007795455767,0.26526259664089574,0.7347374033591042,0
16,3528048386,1769534749,3,3001,750,92,0.9003105276455335,0.11500780725306746,69.41459090748171,2.5994499704639527,11732.077189870379,0.19888029858704345,0.5579845374566782,0
16,3528048386,1350241998,4,3001,750,92,0.9003105276455335,0.09565766093307618,60.69584108198802,2.5764663256771283,11086.373716438655,0.01999466808850973,0.39829378832311385,0
16,3528048386,789541780,5,3001,750,92,0.9003105276455335,0.08488881317836963,58.79572076783486,2.4520854050495378,10671.836881808891,0.01999466808850973,0.3503065849106905,0
16,3528048386,1344100884,6,3001,750,92,0.9003105276455335,0.08601434762315927,52.38851538394495,2.2665298010377404,10285.896026629714,0.006131698213809651,0.2975206611570248,0
16,3528048386,1499316396,7,3001,750,92,0.9003105276455335,0.0938145800772968,50.24431230327543,2.2274251500494864,9953.369696623628,0.006131698213809651,0.2687283391095708,0
16,3528048386,1175368011,8,3001,750,92,0.9003105276455335,0.08555274348774153,47.15192656218758,2.1855208401994153,9698.072776282943,0.006131698213809651,0.23647027459344175,0
16,3528048386,1061153402,9,3001,750,92,0.9003105276455335,0.08767202839164369,47.18264006099793,2.191259546541991,9487.290268507515,0.0005331911490269261,0.238336443615036,1
16,3528048386,1817779437,10,3001,750,92,0.9003105276455335,0.0857646686443159,43.87203480015939,2.2641439063336852,9264.36159776103,0.0007997867235403892,0.20687816582244734,1
17,569531098,625477354,2,3001,750,91,0.9006991224440803,0.11507761847102368,74.51728241947835,2.6156985495233323,12497.713089268489,0.26659557451346305,0.733404425486537,0
17,569531098,390487659,3,3001,750,91,0.9006991224440803,0.10209510285229163,66.60385671780897,2.760722072632026,11612.879345010426,0.19381498267128766,0.5641162356704879,0
17,569531098,1244449875,4,3001,750,91,0.9006991224440803,0.08519270912230492,55.92032227900801,2.6556652600649526,10950.944662990843,0.029858704345507865,0.39109570781125036,0
17,569531098,1291051906,5,3001,750,91,0.9006991224440803,0.08382383892809313,53.26909848568179,2.4912014572266084,10522.901536355881,0.025859770727805917,0.34550786456944815,0
17,569531098,1015283818,6,3001,750,91,0.9006991224440803,0.0850589005103587,49.42800796733923,2.3746689105448087,10158.41195981887,0.008531058384430818,0.3089842708611037,0
17,569531098,1959792809,7,3001,750,91,0.9006991224440803,0.09409126391832498,48.084254112539284,2.2782231058581814,9835.029581393625,0.008264462809917356,0.2772593974940016,0
17,569531098,505072465,8,3001,750,91,0.9006991224440803,0.09242597293485666,47.732810640806235,2.2830564962327045,9591.867946640072,0.0007997867235403892,0.2753932284724074,1
