cluster_id,dimensionality,subspace,n_dense_units,n_points,point_fraction,activity_0_count,activity_1_count,activity_1_fraction
4999,2,"D22,D469",3,3354,0.8941615569181551,1614,1740,0.518783542039356
10196,2,"D53,D925",3,3353,0.8938949613436417,1526,1827,0.5448851774530271
18733,2,"D108,D187",3,3353,0.8938949613436417,1563,1790,0.5338502833283627
28590,2,"D426,D596",3,3353,0.8938949613436417,1618,1735,0.5174470623322398
501,2,"D1,D950",4,3352,0.8936283657691282,1484,1868,0.5572792362768496
5053,2,"D22,D926",3,3350,0.8930951746201014,1537,1813,0.5411940298507463
14251,2,"D76,D596",3,3350,0.8930951746201014,1571,1779,0.531044776119403
2956,2,"D12,D161",3,3348,0.8925619834710744,1517,1831,0.5468936678614098
1713,2,"D7,D228",5,3347,0.8922953878965609,1477,1870,0.5587092919031968
29668,2,"D596,D926",3,3347,0.8922953878965609,1585,1762,0.5264415894831193
3068,2,"D12,D806",3,3345,0.891762196747534,1537,1808,0.54050822122571
29293,2,"D504,D596",3,3345,0.891762196747534,1567,1778,0.5315396113602392
1737,2,"D7,D685",5,3343,0.891229005598507,1592,1751,0.5237810349985044
9243,2,"D49,D69",4,3339,0.8901626233004533,1502,1837,0.5501647199760408
1739,2,"D7,D843",5,3337,0.8896294321514263,1465,1872,0.5609829187893317
5027,2,"D22,D672",3,3337,0.8896294321514263,1563,1774,0.5316152232544201
10188,2,"D53,D806",3,3337,0.8896294321514263,1536,1801,0.5397063230446509
18581,2,"D107,D187",4,3337,0.8896294321514263,1519,1818,0.5448007192088702
293,2,"D1,D49",4,3336,0.8893628365769128,1478,1858,0.5569544364508393
1738,2,"D7,D841",5,3336,0.8893628365769128,1516,1820,0.5455635491606715
10032,2,"D53,D90",3,3336,0.8893628365769128,1502,1834,0.5497601918465228
12809,2,"D68,D73",3,3336,0.8893628365769128,1533,1803,0.5404676258992805
6939,2,"D35,D68",3,3332,0.888296454278859,1488,1844,0.553421368547419
16830,2,"D93,D504",3,3332,0.888296454278859,1497,1835,0.5507202881152461
29658,2,"D596,D802",3,3332,0.888296454278859,1564,1768,0.5306122448979592
