gower_configuration,numerical_block_weight,binary_block_weight,sigma_reference_median,sigma_multiplier,sigma,k,gower_silhouette,spectral_silhouette,mean_within_gower,eigengap,kmeans_inertia_spectral,valid_cluster_sizes,minimum_required_cluster_size,minimum_cluster_size,maximum_cluster_size,cluster_sizes
block_weight_num_0.5,0.5,0.5,0.43060219287872314,0.5,0.21530109643936157,6,0.16202325009337673,0.6891901934901273,0.3483204645060461,0.019950431142423425,351.880837739761,False,188,115,1110,"[1056, 489, 1110, 602, 379, 115]"
block_weight_num_0.6,0.6,0.4,0.35377925634384155,0.5,0.17688962817192078,6,0.1575713404365423,0.674058160468235,0.2881758868071732,0.018782607965079426,379.795874300958,False,188,115,1100,"[1056, 604, 1100, 379, 497, 115]"
classic,,,0.1937503218650818,0.5,0.0968751609325409,8,0.15613868056346455,0.7173714865352419,0.14120067423002292,0.010956021742849764,76.89793252267944,False,188,14,1429,"[847, 1429, 891, 425, 90, 29, 14, 26]"
classic,,,0.1937503218650818,0.5,0.0968751609325409,9,0.1554154440605121,0.7171411119853527,0.14115555090040072,0.01423167882956855,77.09167017293245,False,188,14,1429,"[847, 1429, 891, 14, 15, 425, 26, 85, 19]"
classic,,,0.1937503218650818,2.0,0.3875006437301636,5,0.15276545181549656,0.5216805147356253,0.14209895578486223,0.0012449043780434132,648.0373539324928,False,188,173,1225,"[799, 488, 173, 1225, 1066]"
classic,,,0.1937503218650818,2.0,0.3875006437301636,6,0.15162364241347867,0.4159870164313409,0.1329410994899061,0.0008991668440989278,877.9272921876737,False,188,173,1197,"[496, 1197, 319, 1068, 498, 173]"
classic,,,0.1937503218650818,0.5,0.0968751609325409,7,0.14858410898564345,0.7097910057090532,0.1479892814834457,0.0431793132087539,80.4710623225437,False,188,18,1429,"[848, 1429, 965, 36, 30, 425, 18]"
classic,,,0.1937503218650818,1.0,0.1937503218650818,5,0.14586554770157512,0.5314656088910589,0.14336534447714605,0.004552521437603131,630.1914308926602,False,188,173,1185,"[1185, 1065, 522, 173, 806]"
block_weight_num_0.4,0.4,0.6,0.5072563290596008,1.0,0.5072563290596008,9,0.14302496507729837,0.4610719857890461,0.390514556316329,0.0015516309854163128,873.0146410883203,False,188,135,866,"[174, 576, 378, 299, 327, 566, 430, 866, 135]"
block_weight_num_0.5,0.5,0.5,0.43060219287872314,1.0,0.43060219287872314,9,0.14050206121761355,0.45258817938895235,0.3330030200786665,0.0013422894095698919,892.9141137977523,False,188,136,858,"[136, 858, 571, 327, 435, 565, 306, 175, 378]"
block_weight_num_0.6,0.6,0.4,0.35377925634384155,0.5,0.17688962817192078,9,0.1400640983731611,0.5091653808286869,0.2738912284711989,0.007014751702650118,712.8425572205135,False,188,115,842,"[842, 404, 379, 604, 560, 330, 115, 213, 304]"
block_weight_num_0.4,0.4,0.6,0.5072563290596008,2.0,1.0145126581192017,9,0.13563469723914853,0.44012342415208056,0.38970366317908184,0.0002603519548757319,923.5810199099305,False,188,173,843,"[423, 843, 386, 586, 326, 405, 173, 285, 324]"
block_weight_num_0.5,0.5,0.5,0.43060219287872314,0.5,0.21530109643936157,7,0.13444103230289303,0.5964766682715423,0.34785311777420547,0.003175427108354098,498.0897852581255,False,188,115,1056,"[1056, 700, 379, 558, 339, 115, 604]"
block_weight_num_0.4,0.4,0.6,0.5072563290596008,0.5,0.2536281645298004,10,0.1338772667884647,0.5524881707513726,0.39347617015800035,0.003226038918102192,612.2839993633313,False,188,118,883,"[379, 278, 883, 347, 433, 327, 257, 173, 118, 556]"
block_weight_num_0.6,0.6,0.4,0.35377925634384155,0.5,0.17688962817192078,8,0.13380332901906355,0.5295021489080822,0.2872747252592935,0.0063886468470227,680.069450200354,False,188,115,1043,"[1043, 305, 604, 379, 330, 402, 115, 573]"
block_weight_num_0.5,0.5,0.5,0.43060219287872314,0.5,0.21530109643936157,10,0.13180115719316093,0.537199410373779,0.3359427873006015,0.002419692472625398,651.6952857458324,False,188,119,883,"[379, 883, 552, 257, 276, 439, 326, 173, 119, 347]"
block_weight_num_0.4,0.4,0.6,0.5072563290596008,2.0,1.0145126581192017,10,0.13170607278516755,0.40699846682660096,0.39368658024704256,0.00018302338109952025,1008.0829424909449,False,188,138,851,"[379, 452, 321, 378, 851, 345, 445, 138, 269, 173]"
